"booking_id","customer_segment","service_type","customer_age","city","payment_method","booking_channel","distance_km_clean","estimated_duration_min","time_period","is_weekend","promo_code_used","discount_amount_vnd","traffic_level","weather_condition","basket_value_vnd"
"GB2025000398","Corporate","GrabFood",57,"Can Tho","Moca Wallet","Mobile App",3.56,17.6,"Evening","Weekend","WEEKEND",2000,"Medium","Clear",401000
"GB2025000399","Frequent User","GrabFood",59,"Hanoi","Card","Mobile App",2.3,7.7,"Lunch","Weekday","None",0,"High","Rain",384000
"GB2025000403","Student","GrabMart",32,"Ho Chi Minh City","Card","Mobile App",4.78,11.9,"Early Morning","Weekday","LOYALTY",4000,"Low","Clear",81000
"GB2025000406","Corporate","GrabMart",44,"Can Tho","Cash","Mobile App",4.57,17.6,"Early Morning","Weekday","None",0,"High","Clear",335000
"GB2025000420","Frequent User","GrabMart",18,"Hanoi","Moca Wallet","Mobile App",4.89,25.4,"Morning","Weekday","LOYALTY",2000,"High","Clear",343000
"GB2025000425","Working Professional","GrabMart",61,"Hai Phong","Cash","Mobile App",1.97,5.4,"Night","Weekday","None",0,"Medium","Rain",199000
"GB2025000430","Tourist","GrabFood",49,"Ho Chi Minh City","Cash","Mobile App",1.4,7,"Early Morning","Weekend","WEEKEND",3000,"Medium","Cloudy",248000
"GB2025000432","Family","GrabFood",54,"Ho Chi Minh City","Moca Wallet","Mobile App",1.81,5.4,"Night","Weekend","RIDE10",2000,"High","Clear",405000
"GB2025000436","Frequent User","GrabFood",57,"Ho Chi Minh City","Card","Mobile App",1.48,5.3,"Evening","Weekday","WEEKEND",3000,"High","Cloudy",212000
"GB2025000437","Corporate","GrabFood",58,"Hue","Cash","Partner App",1.78,8.4,"Early Morning","Weekday","WEEKEND",4000,"High","Clear",209000
"GB2025000439","Frequent User","GrabFood",46,"Da Nang","Cash","Mobile App",3.12,37.7,"Lunch","Weekend","None",0,"Unknown","Clear",307000
"GB2025000446","Tourist","GrabMart",36,"Hanoi","Cash","Partner App",3.85,20.2,"Evening","Weekday","None",0,"High","Clear",225000
"GB2025000449","Tourist","GrabMart",51,"Ho Chi Minh City","Cash","Mobile App",3.15,12.3,"Morning","Weekday","None",0,"Medium","Clear",385000
"GB2025000450","Corporate","GrabFood",54,"Hanoi","Cash","Mobile App",9.15,35.9,"Morning","Weekday","WELCOME",5000,"Low","Clear",419000
"GB2025000456","Tourist","GrabFood",46,"Hai Phong","Cash","Mobile App",1.79,5.2,"Evening","Weekday","None",0,"Medium","Cloudy",232000
"GB2025000459","Frequent User","GrabFood",27,"Hanoi","Moca Wallet","Mobile App",3.83,23.3,"Morning","Weekend","None",0,"Severe","Clear",257000
"GB2025000465","Frequent User","GrabFood",26,"Bien Hoa","Card","Mobile App",0.65,3.1,"Morning","Weekend","None",0,"Low","Clear",163000
"GB2025000474","Working Professional","GrabFood",60,"Hanoi","Card","Mobile App",1.94,6.5,"Early Morning","Weekday","None",0,"Medium","Clear",343000
"GB2025000492","Family","GrabFood",49,"Nha Trang","Cash","Mobile App",4.52,18.7,"Early Morning","Weekday","None",0,"Low","Clear",229000
"GB2025000493","Corporate","GrabMart",26,"Nha Trang","Moca Wallet","Mobile App",1.09,4.9,"Early Morning","Weekday","None",0,"Low","Clear",180000
"GB2025000498","Student","GrabFood",62,"Hanoi","Moca Wallet","Mobile App",2.76,16.3,"Early Morning","Weekend","None",0,"High","Clear",93000
"GB2025000505","Working Professional","GrabFood",23,"Hanoi","Cash","Mobile App",8.85,25.8,"Afternoon","Weekday","None",0,"Medium","Clear",365000
"GB2025000510","Frequent User","GrabFood",21,"Ho Chi Minh City","Moca Wallet","Mobile App",3.45,18.3,"Morning","Weekday","WEEKEND",6000,"Medium","Cloudy",312000
"GB2025000520","Frequent User","GrabMart",57,"Ho Chi Minh City","Card","Mobile App",2.98,7.9,"Night","Weekday","WEEKEND",3000,"Low","Clear",285000
"GB2025000524","Working Professional","GrabFood",45,"Hanoi","Cash","Mobile App",6.05,20.9,"Night","Weekday","RIDE10",5000,"Medium","Clear",245000
"GB2025000529","Corporate","GrabFood",19,"Can Tho","Cash","Mobile App",4.04,12.6,"Lunch","Weekday","WELCOME",6000,"Low","Cloudy",393000
"GB2025000533","Family","GrabFood",55,"Ho Chi Minh City","Moca Wallet","Mobile App",2.45,9.3,"Early Morning","Weekday","None",0,"Low","Clear",353000
"GB2025000534","Frequent User","GrabFood",23,"Hai Phong","Moca Wallet","Mobile App",1.73,6.8,"Morning","Weekend","WEEKEND",2000,"Low","Clear",295000
"GB2025000537","Student","GrabFood",24,"Can Tho","Cash","Mobile App",5.87,23.7,"Night","Weekday","MART15",5000,"Low","Rain",305000
"GB2025000540","Corporate","GrabFood",39,"Hanoi","Card","Partner App",5.85,16.6,"Early Morning","Weekend","None",0,"Medium","Cloudy",154000
"GB2025000542","Tourist","GrabFood",28,"Ho Chi Minh City","Moca Wallet","Mobile App",1.34,4.1,"Lunch","Weekday","WEEKEND",3000,"Low","Clear",417000
"GB2025000545","Frequent User","GrabFood",57,"Ho Chi Minh City","Card","Mobile App",1.44,3.7,"Night","Weekday","WEEKEND",1000,"Medium","Rain",181000
"GB2025000549","Family","GrabFood",40,"Hanoi","Card","Mobile App",1.94,7.8,"Morning","Weekday","FOOD20",2000,"Low","Clear",324000
"GB2025000555","Frequent User","GrabFood",40,"Ho Chi Minh City","Moca Wallet","Mobile App",3.84,15.5,"Evening","Weekday","WEEKEND",2000,"Medium","Clear",398000
"GB2025000559","Corporate","GrabMart",48,"Ho Chi Minh City","Corporate Account","Mobile App",3.06,16.6,"Evening","Weekend","WEEKEND",5000,"High","Rain",395000
"GB2025000561","Frequent User","GrabFood",36,"Hanoi","Moca Wallet","Mobile App",7.24,37.9,"Morning","Weekday","WELCOME",11000,"High","Clear",229000
"GB2025000563","Tourist","GrabMart",34,"Ho Chi Minh City","Cash","Mobile App",3.68,12.5,"Afternoon","Weekend","None",0,"Low","Cloudy",152000
"GB2025000572","Working Professional","GrabFood",61,"Hanoi","Card","Mobile App",3.78,13.6,"Early Morning","Weekday","None",0,"Medium","Clear",218000
"GB2025000580","Frequent User","GrabFood",49,"Hue","Card","Mobile App",3.49,18.6,"Lunch","Weekend","RIDE10",3000,"High","Clear",385000
"GB2025000589","Corporate","GrabFood",34,"Hai Phong","Cash","Mobile App",0.7,3,"Early Morning","Weekday","FOOD20",2000,"High","Cloudy",49000
"GB2025000606","Frequent User","GrabFood",24,"Hanoi","Cash","Mobile App",1.45,9.8,"Evening","Weekday","None",0,"Severe","Rain",209000
"GB2025000608","Student","GrabFood",54,"Bien Hoa","Card","Mobile App",7.15,26.6,"Morning","Weekday","MART15",8000,"Low","Cloudy",413000
"GB2025000614","Corporate","GrabFood",30,"Hanoi","Corporate Account","Mobile App",1.19,4.8,"Early Morning","Weekday","RIDE10",3000,"Low","Unknown",66000
"GB2025000615","Family","GrabFood",25,"Bien Hoa","Cash","Mobile App",4.1,22.6,"Night","Weekday","None",0,"High","Heavy Rain",128000
"GB2025000618","Working Professional","GrabFood",58,"Nha Trang","Card","Mobile App",1.15,3.4,"Afternoon","Weekday","RIDE10",2000,"High","Rain",376000
"GB2025000620","Student","GrabFood",22,"Ho Chi Minh City","Moca Wallet","Mobile App",5.14,26.8,"Evening","Weekday","None",0,"Medium","Clear",389000
"GB2025000625","Family","GrabFood",53,"Hanoi","Cash","Mobile App",1.26,4.2,"Afternoon","Weekday","None",0,"Low","Clear",305000
"GB2025000626","Family","GrabFood",22,"Da Nang","Card","Mobile App",1.74,6.2,"Evening","Weekday","None",0,"Medium","Cloudy",258000
"GB2025000628","Working Professional","GrabFood",47,"Hanoi","Cash","Mobile App",4.24,22.7,"Evening","Weekend","RIDE10",4000,"Medium","Clear",129000
"GB2025000636","Frequent User","GrabFood",28,"Hanoi","Card","Mobile App",3.12,15.8,"Night","Weekend","RIDE10",4000,"Medium","Cloudy",361000
"GB2025000646","Family","GrabFood",52,"Hanoi","Moca Wallet","Mobile App",2.41,15.8,"Afternoon","Weekday","None",0,"Severe","Clear",218000
"GB2025000655","Corporate","GrabFood",51,"Hanoi","Cash","Mobile App",3.8,16.2,"Afternoon","Weekday","LOYALTY",4000,"High","Clear",214000
"GB2025000668","Family","GrabFood",41,"Da Nang","Cash","Partner App",6.18,20.2,"Evening","Weekday","LOYALTY",7000,"Medium","Cloudy",172000
"GB2025000672","Corporate","GrabMart",47,"Ho Chi Minh City","Card","Mobile App",1.73,7.5,"Morning","Weekend","None",0,"High","Clear",87000
"GB2025000674","Corporate","GrabMart",43,"Hanoi","Card","Mobile App",1.32,6.2,"Lunch","Weekend","RIDE10",3000,"Medium","Cloudy",252000
"GB2025000684","Corporate","GrabMart",51,"Hanoi","Cash","Mobile App",5.88,24.5,"Lunch","Weekday","None",0,"Medium","Clear",153000
"GB2025000696","Working Professional","GrabFood",33,"Hue","Cash","Mobile App",9.14,41,"Morning","Weekday","MART15",12000,"Medium","Clear",61000
"GB2025000699","Corporate","GrabFood",47,"Hanoi","Moca Wallet","Mobile App",2.91,15.9,"Morning","Weekday","None",0,"High","Cloudy",75000
"GB2025000700","Corporate","GrabFood",28,"Hanoi","Cash","Mobile App",4.63,10.7,"Early Morning","Weekend","LOYALTY",4000,"Low","Cloudy",65000
"GB2025000702","Frequent User","GrabFood",60,"Da Nang","Cash","Mobile App",2.21,10.9,"Evening","Weekend","WELCOME",5000,"High","Cloudy",63000
"GB2025000704","Student","GrabFood",44,"Hanoi","Moca Wallet","Mobile App",3.12,4.1,"Early Morning","Weekend","RIDE10",2000,"High","Unknown",353000
"GB2025000718","Tourist","GrabFood",20,"Ho Chi Minh City","Moca Wallet","Mobile App",4.16,26.4,"Evening","Weekday","WEEKEND",5000,"High","Clear",431000
"GB2025000721","Student","GrabFood",25,"Hanoi","Card","Mobile App",3.19,18,"Lunch","Weekend","None",0,"High","Rain",436000
"GB2025000730","Student","GrabFood",47,"Ho Chi Minh City","Cash","Mobile App",2.06,8.2,"Night","Weekday","MART15",2000,"High","Clear",287000
"GB2025000739","Frequent User","GrabFood",47,"Ho Chi Minh City","Cash","Mobile App",4.22,22.9,"Evening","Weekday","None",0,"Medium","Rain",112000
"GB2025000762","Family","GrabFood",47,"Ho Chi Minh City","Cash","Mobile App",4.53,13.6,"Evening","Weekday","FOOD20",7000,"Low","Cloudy",272000
"GB2025000765","Working Professional","GrabFood",30,"Da Nang","Corporate Account","Mobile App",1.43,5.3,"Early Morning","Weekday","None",0,"High","Clear",444000
"GB2025000771","Frequent User","GrabFood",46,"Ho Chi Minh City","Card","Mobile App",2.44,8.5,"Afternoon","Weekday","None",0,"High","Clear",380000
"GB2025000773","Frequent User","GrabFood",34,"Hanoi","Card","Partner App",1.5,5.4,"Evening","Weekend","MART15",2000,"Medium","Clear",194000
"GB2025000774","Working Professional","GrabFood",50,"Hai Phong","Moca Wallet","Mobile App",1.06,5.5,"Afternoon","Weekday","RIDE10",3000,"High","Cloudy",373000
"GB2025000778","Family","GrabFood",62,"Hanoi","Cash","Mobile App",8.33,32.8,"Night","Weekday","RIDE10",3000,"Low","Cloudy",434000
"GB2025000779","Tourist","GrabFood",51,"Hanoi","Card","Web Booking",2.55,17,"Evening","Weekday","None",0,"Severe","Cloudy",241000
"GB2025000785","Corporate","GrabMart",49,"Ho Chi Minh City","Cash","Mobile App",2.47,8.2,"Afternoon","Weekday","LOYALTY",1000,"Medium","Clear",4e+05
"GB2025000796","Working Professional","GrabFood",55,"Ho Chi Minh City","Cash","Mobile App",1.45,5.3,"Early Morning","Weekend","None",0,"Low","Clear",412000
"GB2025000799","Tourist","GrabFood",25,"Da Nang","Cash","Mobile App",3.37,18.6,"Afternoon","Weekday","RIDE10",3000,"Medium","Clear",332000
"GB2025000805","Frequent User","GrabMart",59,"Bien Hoa","Cash","Partner App",2.02,12.3,"Early Morning","Weekday","None",0,"High","Clear",393000
"GB2025000807","Tourist","GrabFood",46,"Ho Chi Minh City","Moca Wallet","Mobile App",4.98,24,"Morning","Weekday","WELCOME",5000,"High","Clear",243000
"GB2025000811","Tourist","GrabFood",25,"Ho Chi Minh City","Card","Mobile App",4.09,18,"Morning","Weekend","None",0,"High","Clear",117000
"GB2025000813","Working Professional","GrabFood",37,"Ho Chi Minh City","Cash","Mobile App",1.21,3.1,"Afternoon","Weekday","LOYALTY",1000,"Medium","Cloudy",73000
"GB2025000816","Corporate","GrabFood",30,"Hanoi","Moca Wallet","Mobile App",3.27,13.9,"Early Morning","Weekday","FOOD20",4000,"Low","Rain",240000
"GB2025000818","Corporate","GrabMart",56,"Hanoi","Card","Mobile App",8.44,39.6,"Night","Weekend","None",0,"High","Clear",115000
"GB2025000825","Corporate","GrabFood",40,"Ho Chi Minh City","Corporate Account","Mobile App",6.47,22,"Early Morning","Weekend","None",0,"Low","Clear",307000
"GB2025000826","Frequent User","GrabMart",26,"Ho Chi Minh City","Moca Wallet","Mobile App",7.36,26.3,"Morning","Weekday","None",0,"High","Rain",392000
"GB2025000833","Family","GrabFood",43,"Bien Hoa","Cash","Mobile App",1.43,5.9,"Afternoon","Weekday","None",0,"High","Cloudy",95000
"GB2025000838","Tourist","GrabFood",54,"Da Nang","Card","Mobile App",3.31,21,"Afternoon","Weekend","WEEKEND",7000,"High","Cloudy",258000
"GB2025000840","Tourist","GrabFood",42,"Ho Chi Minh City","Cash","Partner App",3.61,13.2,"Early Morning","Weekday","None",0,"Low","Clear",343000
"GB2025000845","Working Professional","GrabMart",59,"Da Nang","Card","Mobile App",2.6,12.3,"Early Morning","Weekend","RIDE10",2000,"Low","Clear",192000
"GB2025000857","Frequent User","GrabFood",41,"Hanoi","Corporate Account","Partner App",0.6,3.3,"Afternoon","Weekday","LOYALTY",1000,"Medium","Cloudy",208000
"GB2025000860","Frequent User","GrabFood",30,"Ho Chi Minh City","Cash","Mobile App",1.61,6.5,"Evening","Weekday","None",0,"High","Cloudy",4e+05
"GB2025000862","Corporate","GrabMart",30,"Hanoi","Cash","Mobile App",5.62,25.7,"Afternoon","Weekend","FOOD20",7000,"Medium","Clear",121000
"GB2025000868","Frequent User","GrabMart",42,"Hai Phong","Moca Wallet","Mobile App",3.95,21.3,"Afternoon","Weekday","LOYALTY",2000,"Medium","Clear",425000
"GB2025000870","Family","GrabFood",29,"Nha Trang","Moca Wallet","Mobile App",2.44,10.7,"Night","Weekday","None",0,"Medium","Clear",310000
"GB2025000878","Student","GrabFood",24,"Ho Chi Minh City","Card","Mobile App",3.38,20.5,"Afternoon","Weekday","None",0,"Severe","Cloudy",246000
"GB2025000879","Frequent User","GrabFood",51,"Da Nang","Card","Mobile App",1.27,6.4,"Lunch","Weekend","FOOD20",3000,"High","Cloudy",288000
"GB2025000908","Family","GrabMart",62,"Ho Chi Minh City","Card","Mobile App",3.55,12.3,"Afternoon","Weekend","WEEKEND",2000,"Medium","Cloudy",206000
"GB2025000915","Frequent User","GrabMart",52,"Ho Chi Minh City","Cash","Mobile App",6.32,19.4,"Night","Weekend","WELCOME",9000,"Low","Cloudy",96000
"GB2025000916","Family","GrabFood",56,"Hanoi","Card","Mobile App",4.71,20.5,"Early Morning","Weekday","WEEKEND",5000,"High","Rain",343000
"GB2025000919","Corporate","GrabFood",29,"Ho Chi Minh City","Cash","Mobile App",3.02,8.1,"Afternoon","Weekday","None",0,"Low","Rain",378000
"GB2025000923","Tourist","GrabFood",56,"Da Nang","Card","Mobile App",5.79,27.8,"Lunch","Weekend","None",0,"Low","Clear",336000
"GB2025000929","Corporate","GrabFood",25,"Ho Chi Minh City","Cash","Mobile App",0.94,2.7,"Night","Weekend","RIDE10",2000,"Medium","Clear",171000
"GB2025000936","Working Professional","GrabMart",38,"Da Nang","Moca Wallet","Mobile App",7.11,30.6,"Early Morning","Weekend","None",0,"Medium","Cloudy",405000
"GB2025000937","Tourist","GrabFood",46,"Ho Chi Minh City","Cash","Mobile App",2.21,8.5,"Early Morning","Weekday","LOYALTY",4000,"Low","Clear",383000
