"booking_id","customer_segment","service_type","customer_age","city","payment_method","booking_channel","distance_km_clean","time_period","is_weekend","promo_code_used","discount_amount_vnd","traffic_level","weather_condition","basket_value_vnd"
"GB2025000176","Student","GrabFood",54,"Bien Hoa","Card","Mobile App",1.71,"Morning","Weekend","None",0,"High","Cloudy",325000
"GB2025000178","Working Professional","GrabFood",49,"Hai Phong","Card","Mobile App",6.72,"Early Morning","Weekday","WELCOME",9000,"Low","Clear",369000
"GB2025000183","Tourist","GrabFood",60,"Ho Chi Minh City","Card","Mobile App",2.97,"Morning","Weekend","None",0,"Medium","Clear",204000
"GB2025000191","Tourist","GrabFood",50,"Can Tho","Cash","Mobile App",2.91,"Lunch","Weekday","LOYALTY",5000,"Low","Cloudy",136000
"GB2025000195","Frequent User","GrabMart",52,"Ho Chi Minh City","Moca Wallet","Mobile App",2.77,"Morning","Weekday","FOOD20",5000,"High","Cloudy",176000
"GB2025000198","Frequent User","GrabFood",54,"Da Nang","Card","Mobile App",1.06,"Evening","Weekday","LOYALTY",3000,"Medium","Clear",198000
"GB2025000203","Working Professional","GrabFood",35,"Hanoi","Moca Wallet","Mobile App",7.92,"Morning","Weekday","WEEKEND",5000,"High","Cloudy",146000
"GB2025000207","Student","GrabMart",46,"Hanoi","Cash","Mobile App",5.48,"Early Morning","Weekday","WELCOME",3000,"Severe","Clear",178000
"GB2025000208","Student","GrabFood",33,"Ho Chi Minh City","Moca Wallet","Mobile App",3.05,"Afternoon","Weekday","WEEKEND",1000,"Medium","Clear",2e+05
"GB2025000209","Student","GrabFood",50,"Ho Chi Minh City","Moca Wallet","Mobile App",1.46,"Evening","Weekday","None",0,"Severe","Clear",141000
"GB2025000223","Tourist","GrabMart",61,"Can Tho","Moca Wallet","Partner App",5.2,"Evening","Weekday","WELCOME",3000,"Low","Cloudy",326000
"GB2025000225","Tourist","GrabMart",24,"Da Nang","Card","Mobile App",2.2,"Lunch","Weekday","WELCOME",5000,"High","Clear",437000
"GB2025000227","Student","GrabMart",29,"Ho Chi Minh City","Cash","Mobile App",3.16,"Evening","Weekday","FOOD20",7000,"Medium","Clear",449000
"GB2025000232","Working Professional","GrabFood",32,"Ho Chi Minh City","Corporate Account","Mobile App",2.34,"Evening","Weekday","FOOD20",4000,"Low","Clear",385000
"GB2025000236","Tourist","GrabFood",41,"Da Nang","Moca Wallet","Mobile App",4.06,"Lunch","Weekday","WEEKEND",2000,"High","Rain",205000
"GB2025000241","Tourist","GrabFood",19,"Da Nang","Cash","Mobile App",2.57,"Evening","Weekend","None",0,"Low","Clear",115000
"GB2025000253","Frequent User","GrabFood",47,"Bien Hoa","Moca Wallet","Mobile App",2.15,"Early Morning","Weekday","WELCOME",2000,"High","Cloudy",119000
"GB2025000258","Tourist","GrabFood",38,"Ho Chi Minh City","Cash","Mobile App",8.18,"Early Morning","Weekday","MART15",10000,"Low","Clear",302000
"GB2025000262","Frequent User","GrabMart",37,"Ho Chi Minh City","Card","Mobile App",3.27,"Night","Weekday","FOOD20",4000,"Medium","Cloudy",261000
"GB2025000264","Family","GrabFood",46,"Ho Chi Minh City","Moca Wallet","Mobile App",4.77,"Evening","Weekend","None",0,"High","Cloudy",405000
"GB2025000270","Family","GrabFood",58,"Bien Hoa","Cash","Mobile App",4.02,"Night","Weekday","MART15",1000,"Low","Clear",441000
"GB2025000288","Tourist","GrabFood",58,"Bien Hoa","Moca Wallet","Mobile App",1.36,"Morning","Weekend","RIDE10",3000,"Medium","Rain",3e+05
"GB2025000296","Frequent User","GrabMart",18,"Da Nang","Cash","Mobile App",3.42,"Evening","Weekend","None",0,"Medium","Rain",83000
"GB2025000301","Frequent User","GrabMart",38,"Hanoi","Corporate Account","Mobile App",0.63,"Early Morning","Weekday","WELCOME",2000,"Medium","Cloudy",111000
"GB2025000304","Student","GrabFood",18,"Bien Hoa","Card","Mobile App",2.58,"Lunch","Weekday","RIDE10",2000,"Low","Clear",263000
"GB2025000310","Student","GrabFood",21,"Da Nang","Cash","Mobile App",3.22,"Afternoon","Weekday","MART15",7000,"Medium","Heavy Rain",102000
"GB2025000314","Family","GrabFood",60,"Nha Trang","Corporate Account","Mobile App",3.19,"Early Morning","Weekday","None",0,"High","Clear",255000
"GB2025000332","Family","GrabFood",58,"Bien Hoa","Card","Partner App",2.13,"Afternoon","Weekday","None",0,"Medium","Clear",394000
"GB2025000338","Frequent User","GrabMart",61,"Nha Trang","Card","Mobile App",5.76,"Morning","Weekday","None",0,"Medium","Clear",216000
"GB2025000342","Frequent User","GrabFood",46,"Hanoi","Moca Wallet","Mobile App",3.85,"Morning","Weekday","None",0,"Medium","Clear",160000
"GB2025000348","Frequent User","GrabFood",49,"Hanoi","Corporate Account","Mobile App",10.94,"Early Morning","Weekday","LOYALTY",14000,"Medium","Clear",177000
"GB2025000354","Corporate","GrabFood",20,"Da Nang","Card","Mobile App",3.12,"Evening","Weekday","None",0,"Medium","Clear",98000
"GB2025000357","Family","GrabMart",22,"Da Nang","Card","Mobile App",6.6,"Evening","Weekday","RIDE10",10000,"Medium","Heavy Rain",88000
"GB2025000358","Student","GrabFood",54,"Ho Chi Minh City","Cash","Mobile App",2.27,"Evening","Weekday","WELCOME",2000,"Low","Clear",164000
"GB2025000362","Student","GrabFood",28,"Can Tho","Card","Mobile App",2.09,"Evening","Weekday","None",0,"Medium","Heavy Rain",185000
"GB2025000363","Frequent User","GrabFood",47,"Hanoi","Cash","Mobile App",3.12,"Night","Weekday","None",0,"Medium","Rain",383000
"GB2025000366","Tourist","GrabMart",38,"Ho Chi Minh City","Cash","Mobile App",4.07,"Morning","Weekend","LOYALTY",5000,"Low","Clear",433000
"GB2025000369","Corporate","GrabMart",37,"Da Nang","Card","Mobile App",2.65,"Afternoon","Weekday","FOOD20",3000,"High","Clear",178000
"GB2025000374","Working Professional","GrabFood",56,"Hanoi","Card","Mobile App",4.2,"Afternoon","Weekday","WEEKEND",3000,"Low","Clear",211000
"GB2025000376","Family","GrabMart",39,"Hue","Card","Mobile App",5.34,"Lunch","Weekday","None",0,"Medium","Cloudy",246000
"GB2025000377","Tourist","GrabFood",35,"Hanoi","Unknown","Mobile App",1.75,"Night","Weekday","MART15",1000,"Severe","Clear",97000
"GB2025000379","Tourist","GrabFood",48,"Hai Phong","Moca Wallet","Mobile App",2.87,"Lunch","Weekday","LOYALTY",3000,"High","Cloudy",79000
"GB2025000392","Student","GrabFood",51,"Da Nang","Card","Mobile App",1.15,"Evening","Weekday","None",0,"High","Cloudy",189000
"GB2025000398","Corporate","GrabFood",57,"Can Tho","Moca Wallet","Mobile App",3.56,"Evening","Weekend","WEEKEND",2000,"Medium","Clear",401000
"GB2025000399","Frequent User","GrabFood",59,"Hanoi","Card","Mobile App",2.3,"Lunch","Weekday","None",0,"High","Rain",384000
"GB2025000403","Student","GrabMart",32,"Ho Chi Minh City","Card","Mobile App",4.78,"Early Morning","Weekday","LOYALTY",4000,"Low","Clear",81000
"GB2025000406","Corporate","GrabMart",44,"Can Tho","Cash","Mobile App",4.57,"Early Morning","Weekday","None",0,"High","Clear",335000
"GB2025000420","Frequent User","GrabMart",18,"Hanoi","Moca Wallet","Mobile App",4.89,"Morning","Weekday","LOYALTY",2000,"High","Clear",343000
"GB2025000425","Working Professional","GrabMart",61,"Hai Phong","Cash","Mobile App",1.97,"Night","Weekday","None",0,"Medium","Rain",199000
"GB2025000430","Tourist","GrabFood",49,"Ho Chi Minh City","Cash","Mobile App",1.4,"Early Morning","Weekend","WEEKEND",3000,"Medium","Cloudy",248000
"GB2025000432","Family","GrabFood",54,"Ho Chi Minh City","Moca Wallet","Mobile App",1.81,"Night","Weekend","RIDE10",2000,"High","Clear",405000
"GB2025000436","Frequent User","GrabFood",57,"Ho Chi Minh City","Card","Mobile App",1.48,"Evening","Weekday","WEEKEND",3000,"High","Cloudy",212000
"GB2025000437","Corporate","GrabFood",58,"Hue","Cash","Partner App",1.78,"Early Morning","Weekday","WEEKEND",4000,"High","Clear",209000
"GB2025000439","Frequent User","GrabFood",46,"Da Nang","Cash","Mobile App",3.12,"Lunch","Weekend","None",0,"Unknown","Clear",307000
"GB2025000446","Tourist","GrabMart",36,"Hanoi","Cash","Partner App",3.85,"Evening","Weekday","None",0,"High","Clear",225000
"GB2025000449","Tourist","GrabMart",51,"Ho Chi Minh City","Cash","Mobile App",3.15,"Morning","Weekday","None",0,"Medium","Clear",385000
"GB2025000450","Corporate","GrabFood",54,"Hanoi","Cash","Mobile App",9.15,"Morning","Weekday","WELCOME",5000,"Low","Clear",419000
"GB2025000456","Tourist","GrabFood",46,"Hai Phong","Cash","Mobile App",1.79,"Evening","Weekday","None",0,"Medium","Cloudy",232000
"GB2025000459","Frequent User","GrabFood",27,"Hanoi","Moca Wallet","Mobile App",3.83,"Morning","Weekend","None",0,"Severe","Clear",257000
"GB2025000465","Frequent User","GrabFood",26,"Bien Hoa","Card","Mobile App",0.65,"Morning","Weekend","None",0,"Low","Clear",163000
"GB2025000474","Working Professional","GrabFood",60,"Hanoi","Card","Mobile App",1.94,"Early Morning","Weekday","None",0,"Medium","Clear",343000
"GB2025000492","Family","GrabFood",49,"Nha Trang","Cash","Mobile App",4.52,"Early Morning","Weekday","None",0,"Low","Clear",229000
"GB2025000493","Corporate","GrabMart",26,"Nha Trang","Moca Wallet","Mobile App",1.09,"Early Morning","Weekday","None",0,"Low","Clear",180000
"GB2025000498","Student","GrabFood",62,"Hanoi","Moca Wallet","Mobile App",2.76,"Early Morning","Weekend","None",0,"High","Clear",93000
"GB2025000505","Working Professional","GrabFood",23,"Hanoi","Cash","Mobile App",8.85,"Afternoon","Weekday","None",0,"Medium","Clear",365000
"GB2025000510","Frequent User","GrabFood",21,"Ho Chi Minh City","Moca Wallet","Mobile App",3.45,"Morning","Weekday","WEEKEND",6000,"Medium","Cloudy",312000
"GB2025000520","Frequent User","GrabMart",57,"Ho Chi Minh City","Card","Mobile App",2.98,"Night","Weekday","WEEKEND",3000,"Low","Clear",285000
"GB2025000524","Working Professional","GrabFood",45,"Hanoi","Cash","Mobile App",6.05,"Night","Weekday","RIDE10",5000,"Medium","Clear",245000
"GB2025000529","Corporate","GrabFood",19,"Can Tho","Cash","Mobile App",4.04,"Lunch","Weekday","WELCOME",6000,"Low","Cloudy",393000
"GB2025000533","Family","GrabFood",55,"Ho Chi Minh City","Moca Wallet","Mobile App",2.45,"Early Morning","Weekday","None",0,"Low","Clear",353000
"GB2025000534","Frequent User","GrabFood",23,"Hai Phong","Moca Wallet","Mobile App",1.73,"Morning","Weekend","WEEKEND",2000,"Low","Clear",295000
"GB2025000537","Student","GrabFood",24,"Can Tho","Cash","Mobile App",5.87,"Night","Weekday","MART15",5000,"Low","Rain",305000
"GB2025000540","Corporate","GrabFood",39,"Hanoi","Card","Partner App",5.85,"Early Morning","Weekend","None",0,"Medium","Cloudy",154000
"GB2025000542","Tourist","GrabFood",28,"Ho Chi Minh City","Moca Wallet","Mobile App",1.34,"Lunch","Weekday","WEEKEND",3000,"Low","Clear",417000
"GB2025000545","Frequent User","GrabFood",57,"Ho Chi Minh City","Card","Mobile App",1.44,"Night","Weekday","WEEKEND",1000,"Medium","Rain",181000
"GB2025000549","Family","GrabFood",40,"Hanoi","Card","Mobile App",1.94,"Morning","Weekday","FOOD20",2000,"Low","Clear",324000
"GB2025000555","Frequent User","GrabFood",40,"Ho Chi Minh City","Moca Wallet","Mobile App",3.84,"Evening","Weekday","WEEKEND",2000,"Medium","Clear",398000
"GB2025000559","Corporate","GrabMart",48,"Ho Chi Minh City","Corporate Account","Mobile App",3.06,"Evening","Weekend","WEEKEND",5000,"High","Rain",395000
"GB2025000561","Frequent User","GrabFood",36,"Hanoi","Moca Wallet","Mobile App",7.24,"Morning","Weekday","WELCOME",11000,"High","Clear",229000
"GB2025000563","Tourist","GrabMart",34,"Ho Chi Minh City","Cash","Mobile App",3.68,"Afternoon","Weekend","None",0,"Low","Cloudy",152000
"GB2025000572","Working Professional","GrabFood",61,"Hanoi","Card","Mobile App",3.78,"Early Morning","Weekday","None",0,"Medium","Clear",218000
"GB2025000580","Frequent User","GrabFood",49,"Hue","Card","Mobile App",3.49,"Lunch","Weekend","RIDE10",3000,"High","Clear",385000
"GB2025000589","Corporate","GrabFood",34,"Hai Phong","Cash","Mobile App",0.7,"Early Morning","Weekday","FOOD20",2000,"High","Cloudy",49000
"GB2025000606","Frequent User","GrabFood",24,"Hanoi","Cash","Mobile App",1.45,"Evening","Weekday","None",0,"Severe","Rain",209000
"GB2025000608","Student","GrabFood",54,"Bien Hoa","Card","Mobile App",7.15,"Morning","Weekday","MART15",8000,"Low","Cloudy",413000
"GB2025000614","Corporate","GrabFood",30,"Hanoi","Corporate Account","Mobile App",1.19,"Early Morning","Weekday","RIDE10",3000,"Low","Unknown",66000
"GB2025000615","Family","GrabFood",25,"Bien Hoa","Cash","Mobile App",4.1,"Night","Weekday","None",0,"High","Heavy Rain",128000
"GB2025000618","Working Professional","GrabFood",58,"Nha Trang","Card","Mobile App",1.15,"Afternoon","Weekday","RIDE10",2000,"High","Rain",376000
"GB2025000620","Student","GrabFood",22,"Ho Chi Minh City","Moca Wallet","Mobile App",5.14,"Evening","Weekday","None",0,"Medium","Clear",389000
"GB2025000625","Family","GrabFood",53,"Hanoi","Cash","Mobile App",1.26,"Afternoon","Weekday","None",0,"Low","Clear",305000
"GB2025000626","Family","GrabFood",22,"Da Nang","Card","Mobile App",1.74,"Evening","Weekday","None",0,"Medium","Cloudy",258000
"GB2025000628","Working Professional","GrabFood",47,"Hanoi","Cash","Mobile App",4.24,"Evening","Weekend","RIDE10",4000,"Medium","Clear",129000
"GB2025000636","Frequent User","GrabFood",28,"Hanoi","Card","Mobile App",3.12,"Night","Weekend","RIDE10",4000,"Medium","Cloudy",361000
"GB2025000646","Family","GrabFood",52,"Hanoi","Moca Wallet","Mobile App",2.41,"Afternoon","Weekday","None",0,"Severe","Clear",218000
"GB2025000655","Corporate","GrabFood",51,"Hanoi","Cash","Mobile App",3.8,"Afternoon","Weekday","LOYALTY",4000,"High","Clear",214000
"GB2025000668","Family","GrabFood",41,"Da Nang","Cash","Partner App",6.18,"Evening","Weekday","LOYALTY",7000,"Medium","Cloudy",172000
"GB2025000672","Corporate","GrabMart",47,"Ho Chi Minh City","Card","Mobile App",1.73,"Morning","Weekend","None",0,"High","Clear",87000
"GB2025000674","Corporate","GrabMart",43,"Hanoi","Card","Mobile App",1.32,"Lunch","Weekend","RIDE10",3000,"Medium","Cloudy",252000
"GB2025000684","Corporate","GrabMart",51,"Hanoi","Cash","Mobile App",5.88,"Lunch","Weekday","None",0,"Medium","Clear",153000
"GB2025000696","Working Professional","GrabFood",33,"Hue","Cash","Mobile App",9.14,"Morning","Weekday","MART15",12000,"Medium","Clear",61000
"GB2025000699","Corporate","GrabFood",47,"Hanoi","Moca Wallet","Mobile App",2.91,"Morning","Weekday","None",0,"High","Cloudy",75000
"GB2025000700","Corporate","GrabFood",28,"Hanoi","Cash","Mobile App",4.63,"Early Morning","Weekend","LOYALTY",4000,"Low","Cloudy",65000
"GB2025000702","Frequent User","GrabFood",60,"Da Nang","Cash","Mobile App",2.21,"Evening","Weekend","WELCOME",5000,"High","Cloudy",63000
"GB2025000704","Student","GrabFood",44,"Hanoi","Moca Wallet","Mobile App",3.12,"Early Morning","Weekend","RIDE10",2000,"High","Unknown",353000
"GB2025000718","Tourist","GrabFood",20,"Ho Chi Minh City","Moca Wallet","Mobile App",4.16,"Evening","Weekday","WEEKEND",5000,"High","Clear",431000
"GB2025000721","Student","GrabFood",25,"Hanoi","Card","Mobile App",3.19,"Lunch","Weekend","None",0,"High","Rain",436000
"GB2025000730","Student","GrabFood",47,"Ho Chi Minh City","Cash","Mobile App",2.06,"Night","Weekday","MART15",2000,"High","Clear",287000
"GB2025000739","Frequent User","GrabFood",47,"Ho Chi Minh City","Cash","Mobile App",4.22,"Evening","Weekday","None",0,"Medium","Rain",112000
"GB2025000762","Family","GrabFood",47,"Ho Chi Minh City","Cash","Mobile App",4.53,"Evening","Weekday","FOOD20",7000,"Low","Cloudy",272000
"GB2025000765","Working Professional","GrabFood",30,"Da Nang","Corporate Account","Mobile App",1.43,"Early Morning","Weekday","None",0,"High","Clear",444000
"GB2025000771","Frequent User","GrabFood",46,"Ho Chi Minh City","Card","Mobile App",2.44,"Afternoon","Weekday","None",0,"High","Clear",380000
"GB2025000773","Frequent User","GrabFood",34,"Hanoi","Card","Partner App",1.5,"Evening","Weekend","MART15",2000,"Medium","Clear",194000
"GB2025000774","Working Professional","GrabFood",50,"Hai Phong","Moca Wallet","Mobile App",1.06,"Afternoon","Weekday","RIDE10",3000,"High","Cloudy",373000
"GB2025000778","Family","GrabFood",62,"Hanoi","Cash","Mobile App",8.33,"Night","Weekday","RIDE10",3000,"Low","Cloudy",434000
"GB2025000779","Tourist","GrabFood",51,"Hanoi","Card","Web Booking",2.55,"Evening","Weekday","None",0,"Severe","Cloudy",241000
"GB2025000785","Corporate","GrabMart",49,"Ho Chi Minh City","Cash","Mobile App",2.47,"Afternoon","Weekday","LOYALTY",1000,"Medium","Clear",4e+05
"GB2025000796","Working Professional","GrabFood",55,"Ho Chi Minh City","Cash","Mobile App",1.45,"Early Morning","Weekend","None",0,"Low","Clear",412000
"GB2025000799","Tourist","GrabFood",25,"Da Nang","Cash","Mobile App",3.37,"Afternoon","Weekday","RIDE10",3000,"Medium","Clear",332000
"GB2025000805","Frequent User","GrabMart",59,"Bien Hoa","Cash","Partner App",2.02,"Early Morning","Weekday","None",0,"High","Clear",393000
"GB2025000807","Tourist","GrabFood",46,"Ho Chi Minh City","Moca Wallet","Mobile App",4.98,"Morning","Weekday","WELCOME",5000,"High","Clear",243000
"GB2025000811","Tourist","GrabFood",25,"Ho Chi Minh City","Card","Mobile App",4.09,"Morning","Weekend","None",0,"High","Clear",117000
"GB2025000813","Working Professional","GrabFood",37,"Ho Chi Minh City","Cash","Mobile App",1.21,"Afternoon","Weekday","LOYALTY",1000,"Medium","Cloudy",73000
"GB2025000816","Corporate","GrabFood",30,"Hanoi","Moca Wallet","Mobile App",3.27,"Early Morning","Weekday","FOOD20",4000,"Low","Rain",240000
"GB2025000818","Corporate","GrabMart",56,"Hanoi","Card","Mobile App",8.44,"Night","Weekend","None",0,"High","Clear",115000
"GB2025000825","Corporate","GrabFood",40,"Ho Chi Minh City","Corporate Account","Mobile App",6.47,"Early Morning","Weekend","None",0,"Low","Clear",307000
"GB2025000826","Frequent User","GrabMart",26,"Ho Chi Minh City","Moca Wallet","Mobile App",7.36,"Morning","Weekday","None",0,"High","Rain",392000
"GB2025000833","Family","GrabFood",43,"Bien Hoa","Cash","Mobile App",1.43,"Afternoon","Weekday","None",0,"High","Cloudy",95000
"GB2025000838","Tourist","GrabFood",54,"Da Nang","Card","Mobile App",3.31,"Afternoon","Weekend","WEEKEND",7000,"High","Cloudy",258000
"GB2025000840","Tourist","GrabFood",42,"Ho Chi Minh City","Cash","Partner App",3.61,"Early Morning","Weekday","None",0,"Low","Clear",343000
"GB2025000845","Working Professional","GrabMart",59,"Da Nang","Card","Mobile App",2.6,"Early Morning","Weekend","RIDE10",2000,"Low","Clear",192000
"GB2025000857","Frequent User","GrabFood",41,"Hanoi","Corporate Account","Partner App",0.6,"Afternoon","Weekday","LOYALTY",1000,"Medium","Cloudy",208000
"GB2025000860","Frequent User","GrabFood",30,"Ho Chi Minh City","Cash","Mobile App",1.61,"Evening","Weekday","None",0,"High","Cloudy",4e+05
"GB2025000862","Corporate","GrabMart",30,"Hanoi","Cash","Mobile App",5.62,"Afternoon","Weekend","FOOD20",7000,"Medium","Clear",121000
"GB2025000868","Frequent User","GrabMart",42,"Hai Phong","Moca Wallet","Mobile App",3.95,"Afternoon","Weekday","LOYALTY",2000,"Medium","Clear",425000
"GB2025000870","Family","GrabFood",29,"Nha Trang","Moca Wallet","Mobile App",2.44,"Night","Weekday","None",0,"Medium","Clear",310000
"GB2025000878","Student","GrabFood",24,"Ho Chi Minh City","Card","Mobile App",3.38,"Afternoon","Weekday","None",0,"Severe","Cloudy",246000
"GB2025000879","Frequent User","GrabFood",51,"Da Nang","Card","Mobile App",1.27,"Lunch","Weekend","FOOD20",3000,"High","Cloudy",288000
"GB2025000908","Family","GrabMart",62,"Ho Chi Minh City","Card","Mobile App",3.55,"Afternoon","Weekend","WEEKEND",2000,"Medium","Cloudy",206000
"GB2025000915","Frequent User","GrabMart",52,"Ho Chi Minh City","Cash","Mobile App",6.32,"Night","Weekend","WELCOME",9000,"Low","Cloudy",96000
"GB2025000916","Family","GrabFood",56,"Hanoi","Card","Mobile App",4.71,"Early Morning","Weekday","WEEKEND",5000,"High","Rain",343000
"GB2025000919","Corporate","GrabFood",29,"Ho Chi Minh City","Cash","Mobile App",3.02,"Afternoon","Weekday","None",0,"Low","Rain",378000
"GB2025000923","Tourist","GrabFood",56,"Da Nang","Card","Mobile App",5.79,"Lunch","Weekend","None",0,"Low","Clear",336000
"GB2025000929","Corporate","GrabFood",25,"Ho Chi Minh City","Cash","Mobile App",0.94,"Night","Weekend","RIDE10",2000,"Medium","Clear",171000
"GB2025000936","Working Professional","GrabMart",38,"Da Nang","Moca Wallet","Mobile App",7.11,"Early Morning","Weekend","None",0,"Medium","Cloudy",405000
"GB2025000937","Tourist","GrabFood",46,"Ho Chi Minh City","Cash","Mobile App",2.21,"Early Morning","Weekday","LOYALTY",4000,"Low","Clear",383000
"GB2025000952","Corporate","GrabFood",25,"Bien Hoa","Cash","Mobile App",3.78,"Early Morning","Weekday","None",0,"Medium","Clear",251000
"GB2025000960","Frequent User","GrabMart",58,"Hanoi","Cash","Mobile App",11.76,"Morning","Weekday","WEEKEND",10000,"Severe","Cloudy",94000
"GB2025000963","Frequent User","GrabFood",34,"Ho Chi Minh City","Cash","Mobile App",3.12,"Night","Weekday","FOOD20",6000,"Low","Clear",56000
"GB2025000965","Tourist","GrabFood",48,"Da Nang","Cash","Mobile App",2.87,"Evening","Weekday","None",0,"Unknown","Rain",243000
"GB2025000966","Frequent User","GrabFood",41,"Ho Chi Minh City","Cash","Mobile App",1.53,"Morning","Weekday","None",0,"Medium","Cloudy",69000
"GB2025000969","Family","GrabFood",48,"Ho Chi Minh City","Cash","Mobile App",1.68,"Early Morning","Weekday","None",0,"Severe","Cloudy",137000
"GB2025000970","Tourist","GrabMart",31,"Ho Chi Minh City","Cash","Mobile App",2.92,"Night","Weekend","FOOD20",2000,"Unknown","Cloudy",435000
"GB2025000973","Frequent User","GrabFood",55,"Ho Chi Minh City","Moca Wallet","Mobile App",1.67,"Early Morning","Weekday","None",0,"Unknown","Clear",327000
"GB2025000975","Frequent User","GrabFood",55,"Can Tho","Card","Partner App",3.19,"Evening","Weekend","None",0,"Low","Heavy Rain",59000
