"basket_value_vnd","customer_segment","customer_age","service_type","city","payment_method","booking_channel","distance_km_clean","estimated_duration_min","time_period","is_weekend","promo_code_used","discount_amount_vnd","traffic_level","weather_condition"
136000,"Tourist",50,"GrabFood","Can Tho","Cash","Mobile App",2.91,9.4,"Lunch","Weekday","LOYALTY",5000,"Low","Cloudy"
176000,"Frequent User",52,"GrabMart","Ho Chi Minh City","Moca Wallet","Mobile App",2.77,17.1,"Morning","Weekday","FOOD20",5000,"High","Cloudy"
198000,"Frequent User",54,"GrabFood","Da Nang","Card","Mobile App",1.06,3.4,"Evening","Weekday","LOYALTY",3000,"Medium","Clear"
146000,"Working Professional",35,"GrabFood","Hanoi","Moca Wallet","Mobile App",7.92,40.1,"Morning","Weekday","WEEKEND",5000,"High","Cloudy"
178000,"Student",46,"GrabMart","Hanoi","Cash","Mobile App",5.48,35.8,"Early Morning","Weekday","WELCOME",3000,"Severe","Clear"
2e+05,"Student",33,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",3.05,15.3,"Afternoon","Weekday","WEEKEND",1000,"Medium","Clear"
141000,"Student",50,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",1.46,11,"Evening","Weekday","None",0,"Severe","Clear"
326000,"Tourist",61,"GrabMart","Can Tho","Moca Wallet","Partner App",5.2,17.9,"Evening","Weekday","WELCOME",3000,"Low","Cloudy"
437000,"Tourist",24,"GrabMart","Da Nang","Card","Mobile App",2.2,9.1,"Lunch","Weekday","WELCOME",5000,"High","Clear"
449000,"Student",29,"GrabMart","Ho Chi Minh City","Cash","Mobile App",3.16,12.2,"Evening","Weekday","FOOD20",7000,"Medium","Clear"
385000,"Working Professional",32,"GrabFood","Ho Chi Minh City","Corporate Account","Mobile App",2.34,8.2,"Evening","Weekday","FOOD20",4000,"Low","Clear"
205000,"Tourist",41,"GrabFood","Da Nang","Moca Wallet","Mobile App",4.06,24.9,"Lunch","Weekday","WEEKEND",2000,"High","Rain"
115000,"Tourist",19,"GrabFood","Da Nang","Cash","Mobile App",2.57,6.3,"Evening","Weekend","None",0,"Low","Clear"
119000,"Frequent User",47,"GrabFood","Bien Hoa","Moca Wallet","Mobile App",2.15,13.5,"Early Morning","Weekday","WELCOME",2000,"High","Cloudy"
302000,"Tourist",38,"GrabFood","Ho Chi Minh City","Cash","Mobile App",8.18,29.2,"Early Morning","Weekday","MART15",10000,"Low","Clear"
261000,"Frequent User",37,"GrabMart","Ho Chi Minh City","Card","Mobile App",3.27,8.8,"Night","Weekday","FOOD20",4000,"Medium","Cloudy"
405000,"Family",46,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",4.77,21.4,"Evening","Weekend","None",0,"High","Cloudy"
441000,"Family",58,"GrabFood","Bien Hoa","Cash","Mobile App",4.02,16.6,"Night","Weekday","MART15",1000,"Low","Clear"
3e+05,"Tourist",58,"GrabFood","Bien Hoa","Moca Wallet","Mobile App",1.36,6.2,"Morning","Weekend","RIDE10",3000,"Medium","Rain"
83000,"Frequent User",18,"GrabMart","Da Nang","Cash","Mobile App",3.42,11,"Evening","Weekend","None",0,"Medium","Rain"
111000,"Frequent User",38,"GrabMart","Hanoi","Corporate Account","Mobile App",0.63,2.6,"Early Morning","Weekday","WELCOME",2000,"Medium","Cloudy"
263000,"Student",18,"GrabFood","Bien Hoa","Card","Mobile App",2.58,10.2,"Lunch","Weekday","RIDE10",2000,"Low","Clear"
102000,"Student",21,"GrabFood","Da Nang","Cash","Mobile App",3.22,17.4,"Afternoon","Weekday","MART15",7000,"Medium","Heavy Rain"
255000,"Family",60,"GrabFood","Nha Trang","Corporate Account","Mobile App",3.19,15.9,"Early Morning","Weekday","None",0,"High","Clear"
394000,"Family",58,"GrabFood","Bien Hoa","Card","Partner App",2.13,6.1,"Afternoon","Weekday","None",0,"Medium","Clear"
216000,"Frequent User",61,"GrabMart","Nha Trang","Card","Mobile App",5.76,29.1,"Morning","Weekday","None",0,"Medium","Clear"
160000,"Frequent User",46,"GrabFood","Hanoi","Moca Wallet","Mobile App",3.85,16.1,"Morning","Weekday","None",0,"Medium","Clear"
177000,"Frequent User",49,"GrabFood","Hanoi","Corporate Account","Mobile App",10.94,57.5,"Early Morning","Weekday","LOYALTY",14000,"Medium","Clear"
98000,"Corporate",20,"GrabFood","Da Nang","Card","Mobile App",3.12,7.7,"Evening","Weekday","None",0,"Medium","Clear"
88000,"Family",22,"GrabMart","Da Nang","Card","Mobile App",6.6,19.9,"Evening","Weekday","RIDE10",10000,"Medium","Heavy Rain"
164000,"Student",54,"GrabFood","Ho Chi Minh City","Cash","Mobile App",2.27,7.9,"Evening","Weekday","WELCOME",2000,"Low","Clear"
185000,"Student",28,"GrabFood","Can Tho","Card","Mobile App",2.09,10.6,"Evening","Weekday","None",0,"Medium","Heavy Rain"
383000,"Frequent User",47,"GrabFood","Hanoi","Cash","Mobile App",3.12,12.4,"Night","Weekday","None",0,"Medium","Rain"
433000,"Tourist",38,"GrabMart","Ho Chi Minh City","Cash","Mobile App",4.07,15.5,"Morning","Weekend","LOYALTY",5000,"Low","Clear"
178000,"Corporate",37,"GrabMart","Da Nang","Card","Mobile App",2.65,17,"Afternoon","Weekday","FOOD20",3000,"High","Clear"
211000,"Working Professional",56,"GrabFood","Hanoi","Card","Mobile App",4.2,18.7,"Afternoon","Weekday","WEEKEND",3000,"Low","Clear"
246000,"Family",39,"GrabMart","Hue","Card","Mobile App",5.34,18,"Lunch","Weekday","None",0,"Medium","Cloudy"
97000,"Tourist",35,"GrabFood","Hanoi","Unknown","Mobile App",1.75,8.2,"Night","Weekday","MART15",1000,"Severe","Clear"
79000,"Tourist",48,"GrabFood","Hai Phong","Moca Wallet","Mobile App",2.87,13.9,"Lunch","Weekday","LOYALTY",3000,"High","Cloudy"
189000,"Student",51,"GrabFood","Da Nang","Card","Mobile App",1.15,7.4,"Evening","Weekday","None",0,"High","Cloudy"
401000,"Corporate",57,"GrabFood","Can Tho","Moca Wallet","Mobile App",3.56,17.6,"Evening","Weekend","WEEKEND",2000,"Medium","Clear"
384000,"Frequent User",59,"GrabFood","Hanoi","Card","Mobile App",2.3,7.7,"Lunch","Weekday","None",0,"High","Rain"
81000,"Student",32,"GrabMart","Ho Chi Minh City","Card","Mobile App",4.78,11.9,"Early Morning","Weekday","LOYALTY",4000,"Low","Clear"
335000,"Corporate",44,"GrabMart","Can Tho","Cash","Mobile App",4.57,17.6,"Early Morning","Weekday","None",0,"High","Clear"
343000,"Frequent User",18,"GrabMart","Hanoi","Moca Wallet","Mobile App",4.89,25.4,"Morning","Weekday","LOYALTY",2000,"High","Clear"
199000,"Working Professional",61,"GrabMart","Hai Phong","Cash","Mobile App",1.97,5.4,"Night","Weekday","None",0,"Medium","Rain"
248000,"Tourist",49,"GrabFood","Ho Chi Minh City","Cash","Mobile App",1.4,7,"Early Morning","Weekend","WEEKEND",3000,"Medium","Cloudy"
405000,"Family",54,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",1.81,5.4,"Night","Weekend","RIDE10",2000,"High","Clear"
212000,"Frequent User",57,"GrabFood","Ho Chi Minh City","Card","Mobile App",1.48,5.3,"Evening","Weekday","WEEKEND",3000,"High","Cloudy"
209000,"Corporate",58,"GrabFood","Hue","Cash","Partner App",1.78,8.4,"Early Morning","Weekday","WEEKEND",4000,"High","Clear"
307000,"Frequent User",46,"GrabFood","Da Nang","Cash","Mobile App",3.12,37.7,"Lunch","Weekend","None",0,"Unknown","Clear"
225000,"Tourist",36,"GrabMart","Hanoi","Cash","Partner App",3.85,20.2,"Evening","Weekday","None",0,"High","Clear"
385000,"Tourist",51,"GrabMart","Ho Chi Minh City","Cash","Mobile App",3.15,12.3,"Morning","Weekday","None",0,"Medium","Clear"
419000,"Corporate",54,"GrabFood","Hanoi","Cash","Mobile App",9.15,35.9,"Morning","Weekday","WELCOME",5000,"Low","Clear"
232000,"Tourist",46,"GrabFood","Hai Phong","Cash","Mobile App",1.79,5.2,"Evening","Weekday","None",0,"Medium","Cloudy"
257000,"Frequent User",27,"GrabFood","Hanoi","Moca Wallet","Mobile App",3.83,23.3,"Morning","Weekend","None",0,"Severe","Clear"
163000,"Frequent User",26,"GrabFood","Bien Hoa","Card","Mobile App",0.65,3.1,"Morning","Weekend","None",0,"Low","Clear"
343000,"Working Professional",60,"GrabFood","Hanoi","Card","Mobile App",1.94,6.5,"Early Morning","Weekday","None",0,"Medium","Clear"
229000,"Family",49,"GrabFood","Nha Trang","Cash","Mobile App",4.52,18.7,"Early Morning","Weekday","None",0,"Low","Clear"
180000,"Corporate",26,"GrabMart","Nha Trang","Moca Wallet","Mobile App",1.09,4.9,"Early Morning","Weekday","None",0,"Low","Clear"
93000,"Student",62,"GrabFood","Hanoi","Moca Wallet","Mobile App",2.76,16.3,"Early Morning","Weekend","None",0,"High","Clear"
365000,"Working Professional",23,"GrabFood","Hanoi","Cash","Mobile App",8.85,25.8,"Afternoon","Weekday","None",0,"Medium","Clear"
312000,"Frequent User",21,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",3.45,18.3,"Morning","Weekday","WEEKEND",6000,"Medium","Cloudy"
285000,"Frequent User",57,"GrabMart","Ho Chi Minh City","Card","Mobile App",2.98,7.9,"Night","Weekday","WEEKEND",3000,"Low","Clear"
245000,"Working Professional",45,"GrabFood","Hanoi","Cash","Mobile App",6.05,20.9,"Night","Weekday","RIDE10",5000,"Medium","Clear"
393000,"Corporate",19,"GrabFood","Can Tho","Cash","Mobile App",4.04,12.6,"Lunch","Weekday","WELCOME",6000,"Low","Cloudy"
353000,"Family",55,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",2.45,9.3,"Early Morning","Weekday","None",0,"Low","Clear"
295000,"Frequent User",23,"GrabFood","Hai Phong","Moca Wallet","Mobile App",1.73,6.8,"Morning","Weekend","WEEKEND",2000,"Low","Clear"
305000,"Student",24,"GrabFood","Can Tho","Cash","Mobile App",5.87,23.7,"Night","Weekday","MART15",5000,"Low","Rain"
154000,"Corporate",39,"GrabFood","Hanoi","Card","Partner App",5.85,16.6,"Early Morning","Weekend","None",0,"Medium","Cloudy"
417000,"Tourist",28,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",1.34,4.1,"Lunch","Weekday","WEEKEND",3000,"Low","Clear"
181000,"Frequent User",57,"GrabFood","Ho Chi Minh City","Card","Mobile App",1.44,3.7,"Night","Weekday","WEEKEND",1000,"Medium","Rain"
324000,"Family",40,"GrabFood","Hanoi","Card","Mobile App",1.94,7.8,"Morning","Weekday","FOOD20",2000,"Low","Clear"
398000,"Frequent User",40,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",3.84,15.5,"Evening","Weekday","WEEKEND",2000,"Medium","Clear"
395000,"Corporate",48,"GrabMart","Ho Chi Minh City","Corporate Account","Mobile App",3.06,16.6,"Evening","Weekend","WEEKEND",5000,"High","Rain"
229000,"Frequent User",36,"GrabFood","Hanoi","Moca Wallet","Mobile App",7.24,37.9,"Morning","Weekday","WELCOME",11000,"High","Clear"
152000,"Tourist",34,"GrabMart","Ho Chi Minh City","Cash","Mobile App",3.68,12.5,"Afternoon","Weekend","None",0,"Low","Cloudy"
218000,"Working Professional",61,"GrabFood","Hanoi","Card","Mobile App",3.78,13.6,"Early Morning","Weekday","None",0,"Medium","Clear"
385000,"Frequent User",49,"GrabFood","Hue","Card","Mobile App",3.49,18.6,"Lunch","Weekend","RIDE10",3000,"High","Clear"
49000,"Corporate",34,"GrabFood","Hai Phong","Cash","Mobile App",0.7,3,"Early Morning","Weekday","FOOD20",2000,"High","Cloudy"
209000,"Frequent User",24,"GrabFood","Hanoi","Cash","Mobile App",1.45,9.8,"Evening","Weekday","None",0,"Severe","Rain"
413000,"Student",54,"GrabFood","Bien Hoa","Card","Mobile App",7.15,26.6,"Morning","Weekday","MART15",8000,"Low","Cloudy"
66000,"Corporate",30,"GrabFood","Hanoi","Corporate Account","Mobile App",1.19,4.8,"Early Morning","Weekday","RIDE10",3000,"Low","Unknown"
128000,"Family",25,"GrabFood","Bien Hoa","Cash","Mobile App",4.1,22.6,"Night","Weekday","None",0,"High","Heavy Rain"
376000,"Working Professional",58,"GrabFood","Nha Trang","Card","Mobile App",1.15,3.4,"Afternoon","Weekday","RIDE10",2000,"High","Rain"
389000,"Student",22,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",5.14,26.8,"Evening","Weekday","None",0,"Medium","Clear"
305000,"Family",53,"GrabFood","Hanoi","Cash","Mobile App",1.26,4.2,"Afternoon","Weekday","None",0,"Low","Clear"
258000,"Family",22,"GrabFood","Da Nang","Card","Mobile App",1.74,6.2,"Evening","Weekday","None",0,"Medium","Cloudy"
129000,"Working Professional",47,"GrabFood","Hanoi","Cash","Mobile App",4.24,22.7,"Evening","Weekend","RIDE10",4000,"Medium","Clear"
361000,"Frequent User",28,"GrabFood","Hanoi","Card","Mobile App",3.12,15.8,"Night","Weekend","RIDE10",4000,"Medium","Cloudy"
218000,"Family",52,"GrabFood","Hanoi","Moca Wallet","Mobile App",2.41,15.8,"Afternoon","Weekday","None",0,"Severe","Clear"
214000,"Corporate",51,"GrabFood","Hanoi","Cash","Mobile App",3.8,16.2,"Afternoon","Weekday","LOYALTY",4000,"High","Clear"
172000,"Family",41,"GrabFood","Da Nang","Cash","Partner App",6.18,20.2,"Evening","Weekday","LOYALTY",7000,"Medium","Cloudy"
87000,"Corporate",47,"GrabMart","Ho Chi Minh City","Card","Mobile App",1.73,7.5,"Morning","Weekend","None",0,"High","Clear"
252000,"Corporate",43,"GrabMart","Hanoi","Card","Mobile App",1.32,6.2,"Lunch","Weekend","RIDE10",3000,"Medium","Cloudy"
153000,"Corporate",51,"GrabMart","Hanoi","Cash","Mobile App",5.88,24.5,"Lunch","Weekday","None",0,"Medium","Clear"
61000,"Working Professional",33,"GrabFood","Hue","Cash","Mobile App",9.14,41,"Morning","Weekday","MART15",12000,"Medium","Clear"
75000,"Corporate",47,"GrabFood","Hanoi","Moca Wallet","Mobile App",2.91,15.9,"Morning","Weekday","None",0,"High","Cloudy"
65000,"Corporate",28,"GrabFood","Hanoi","Cash","Mobile App",4.63,10.7,"Early Morning","Weekend","LOYALTY",4000,"Low","Cloudy"
63000,"Frequent User",60,"GrabFood","Da Nang","Cash","Mobile App",2.21,10.9,"Evening","Weekend","WELCOME",5000,"High","Cloudy"
353000,"Student",44,"GrabFood","Hanoi","Moca Wallet","Mobile App",3.12,4.1,"Early Morning","Weekend","RIDE10",2000,"High","Unknown"
431000,"Tourist",20,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",4.16,26.4,"Evening","Weekday","WEEKEND",5000,"High","Clear"
436000,"Student",25,"GrabFood","Hanoi","Card","Mobile App",3.19,18,"Lunch","Weekend","None",0,"High","Rain"
287000,"Student",47,"GrabFood","Ho Chi Minh City","Cash","Mobile App",2.06,8.2,"Night","Weekday","MART15",2000,"High","Clear"
112000,"Frequent User",47,"GrabFood","Ho Chi Minh City","Cash","Mobile App",4.22,22.9,"Evening","Weekday","None",0,"Medium","Rain"
272000,"Family",47,"GrabFood","Ho Chi Minh City","Cash","Mobile App",4.53,13.6,"Evening","Weekday","FOOD20",7000,"Low","Cloudy"
444000,"Working Professional",30,"GrabFood","Da Nang","Corporate Account","Mobile App",1.43,5.3,"Early Morning","Weekday","None",0,"High","Clear"
380000,"Frequent User",46,"GrabFood","Ho Chi Minh City","Card","Mobile App",2.44,8.5,"Afternoon","Weekday","None",0,"High","Clear"
194000,"Frequent User",34,"GrabFood","Hanoi","Card","Partner App",1.5,5.4,"Evening","Weekend","MART15",2000,"Medium","Clear"
373000,"Working Professional",50,"GrabFood","Hai Phong","Moca Wallet","Mobile App",1.06,5.5,"Afternoon","Weekday","RIDE10",3000,"High","Cloudy"
434000,"Family",62,"GrabFood","Hanoi","Cash","Mobile App",8.33,32.8,"Night","Weekday","RIDE10",3000,"Low","Cloudy"
241000,"Tourist",51,"GrabFood","Hanoi","Card","Web Booking",2.55,17,"Evening","Weekday","None",0,"Severe","Cloudy"
4e+05,"Corporate",49,"GrabMart","Ho Chi Minh City","Cash","Mobile App",2.47,8.2,"Afternoon","Weekday","LOYALTY",1000,"Medium","Clear"
412000,"Working Professional",55,"GrabFood","Ho Chi Minh City","Cash","Mobile App",1.45,5.3,"Early Morning","Weekend","None",0,"Low","Clear"
332000,"Tourist",25,"GrabFood","Da Nang","Cash","Mobile App",3.37,18.6,"Afternoon","Weekday","RIDE10",3000,"Medium","Clear"
393000,"Frequent User",59,"GrabMart","Bien Hoa","Cash","Partner App",2.02,12.3,"Early Morning","Weekday","None",0,"High","Clear"
243000,"Tourist",46,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",4.98,24,"Morning","Weekday","WELCOME",5000,"High","Clear"
117000,"Tourist",25,"GrabFood","Ho Chi Minh City","Card","Mobile App",4.09,18,"Morning","Weekend","None",0,"High","Clear"
73000,"Working Professional",37,"GrabFood","Ho Chi Minh City","Cash","Mobile App",1.21,3.1,"Afternoon","Weekday","LOYALTY",1000,"Medium","Cloudy"
240000,"Corporate",30,"GrabFood","Hanoi","Moca Wallet","Mobile App",3.27,13.9,"Early Morning","Weekday","FOOD20",4000,"Low","Rain"
115000,"Corporate",56,"GrabMart","Hanoi","Card","Mobile App",8.44,39.6,"Night","Weekend","None",0,"High","Clear"
307000,"Corporate",40,"GrabFood","Ho Chi Minh City","Corporate Account","Mobile App",6.47,22,"Early Morning","Weekend","None",0,"Low","Clear"
392000,"Frequent User",26,"GrabMart","Ho Chi Minh City","Moca Wallet","Mobile App",7.36,26.3,"Morning","Weekday","None",0,"High","Rain"
95000,"Family",43,"GrabFood","Bien Hoa","Cash","Mobile App",1.43,5.9,"Afternoon","Weekday","None",0,"High","Cloudy"
258000,"Tourist",54,"GrabFood","Da Nang","Card","Mobile App",3.31,21,"Afternoon","Weekend","WEEKEND",7000,"High","Cloudy"
343000,"Tourist",42,"GrabFood","Ho Chi Minh City","Cash","Partner App",3.61,13.2,"Early Morning","Weekday","None",0,"Low","Clear"
192000,"Working Professional",59,"GrabMart","Da Nang","Card","Mobile App",2.6,12.3,"Early Morning","Weekend","RIDE10",2000,"Low","Clear"
208000,"Frequent User",41,"GrabFood","Hanoi","Corporate Account","Partner App",0.6,3.3,"Afternoon","Weekday","LOYALTY",1000,"Medium","Cloudy"
4e+05,"Frequent User",30,"GrabFood","Ho Chi Minh City","Cash","Mobile App",1.61,6.5,"Evening","Weekday","None",0,"High","Cloudy"
121000,"Corporate",30,"GrabMart","Hanoi","Cash","Mobile App",5.62,25.7,"Afternoon","Weekend","FOOD20",7000,"Medium","Clear"
425000,"Frequent User",42,"GrabMart","Hai Phong","Moca Wallet","Mobile App",3.95,21.3,"Afternoon","Weekday","LOYALTY",2000,"Medium","Clear"
310000,"Family",29,"GrabFood","Nha Trang","Moca Wallet","Mobile App",2.44,10.7,"Night","Weekday","None",0,"Medium","Clear"
246000,"Student",24,"GrabFood","Ho Chi Minh City","Card","Mobile App",3.38,20.5,"Afternoon","Weekday","None",0,"Severe","Cloudy"
288000,"Frequent User",51,"GrabFood","Da Nang","Card","Mobile App",1.27,6.4,"Lunch","Weekend","FOOD20",3000,"High","Cloudy"
206000,"Family",62,"GrabMart","Ho Chi Minh City","Card","Mobile App",3.55,12.3,"Afternoon","Weekend","WEEKEND",2000,"Medium","Cloudy"
96000,"Frequent User",52,"GrabMart","Ho Chi Minh City","Cash","Mobile App",6.32,19.4,"Night","Weekend","WELCOME",9000,"Low","Cloudy"
343000,"Family",56,"GrabFood","Hanoi","Card","Mobile App",4.71,20.5,"Early Morning","Weekday","WEEKEND",5000,"High","Rain"
378000,"Corporate",29,"GrabFood","Ho Chi Minh City","Cash","Mobile App",3.02,8.1,"Afternoon","Weekday","None",0,"Low","Rain"
336000,"Tourist",56,"GrabFood","Da Nang","Card","Mobile App",5.79,27.8,"Lunch","Weekend","None",0,"Low","Clear"
171000,"Corporate",25,"GrabFood","Ho Chi Minh City","Cash","Mobile App",0.94,2.7,"Night","Weekend","RIDE10",2000,"Medium","Clear"
405000,"Working Professional",38,"GrabMart","Da Nang","Moca Wallet","Mobile App",7.11,30.6,"Early Morning","Weekend","None",0,"Medium","Cloudy"
383000,"Tourist",46,"GrabFood","Ho Chi Minh City","Cash","Mobile App",2.21,8.5,"Early Morning","Weekday","LOYALTY",4000,"Low","Clear"
251000,"Corporate",25,"GrabFood","Bien Hoa","Cash","Mobile App",3.78,17.4,"Early Morning","Weekday","None",0,"Medium","Clear"
94000,"Frequent User",58,"GrabMart","Hanoi","Cash","Mobile App",11.76,87.4,"Morning","Weekday","WEEKEND",10000,"Severe","Cloudy"
56000,"Frequent User",34,"GrabFood","Ho Chi Minh City","Cash","Mobile App",3.12,20.3,"Night","Weekday","FOOD20",6000,"Low","Clear"
243000,"Tourist",48,"GrabFood","Da Nang","Cash","Mobile App",2.87,7.5,"Evening","Weekday","None",0,"Unknown","Rain"
69000,"Frequent User",41,"GrabFood","Ho Chi Minh City","Cash","Mobile App",1.53,4.2,"Morning","Weekday","None",0,"Medium","Cloudy"
137000,"Family",48,"GrabFood","Ho Chi Minh City","Cash","Mobile App",1.68,9,"Early Morning","Weekday","None",0,"Severe","Cloudy"
435000,"Tourist",31,"GrabMart","Ho Chi Minh City","Cash","Mobile App",2.92,10.3,"Night","Weekend","FOOD20",2000,"Unknown","Cloudy"
327000,"Frequent User",55,"GrabFood","Ho Chi Minh City","Moca Wallet","Mobile App",1.67,3.9,"Early Morning","Weekday","None",0,"Unknown","Clear"
59000,"Frequent User",55,"GrabFood","Can Tho","Card","Partner App",3.19,13.1,"Evening","Weekend","None",0,"Low","Heavy Rain"
135000,"Corporate",21,"GrabFood","Hanoi","Cash","Mobile App",6.28,30.8,"Evening","Weekday","None",0,"Medium","Clear"
89000,"Frequent User",25,"GrabMart","Ho Chi Minh City","Cash","Mobile App",2.21,6.4,"Early Morning","Weekday","FOOD20",1000,"Medium","Clear"
102000,"Family",56,"GrabFood","Ho Chi Minh City","Card","Mobile App",2.83,16,"Lunch","Weekday","FOOD20",5000,"High","Cloudy"
79000,"Frequent User",38,"GrabFood","Hue","Corporate Account","Mobile App",1.22,4.1,"Morning","Weekend","WEEKEND",3000,"Low","Cloudy"
61000,"Corporate",47,"GrabFood","Ho Chi Minh City","Corporate Account","Mobile App",4.08,26,"Lunch","Weekday","LOYALTY",2000,"High","Clear"
