"booking_id","booking_datetime","city","service_type","customer_segment","customer_age","driver_status","driver_experience_years","payment_method","booking_channel","distance_km","estimated_duration_min","actual_duration_min","waiting_time_min","traffic_level","weather_condition","promo_code_used","discount_amount_vnd","basket_value_vnd","fare_amount_vnd","driver_rating","customer_rating","completed_flag","cancellation_reason","loyalty_points_earned","booking_hour","booking_day","is_weekend","time_period","estimated_speed_kmh","distance_invalid","distance_km_clean"
"GB2025000075",2025-04-22 16:39:00,"Hanoi","GrabFood","Family",18,"Standard",6.1,"Moca Wallet","Mobile App",2.51,7.7,7.1,7.9,"Low","Clear","LOYALTY",3000,226000,15000,"4.6","4.2","1",NA,"1",16,"Tuesday","Weekday","Afternoon",19.5584415584416,FALSE,2.51
"GB2025000082",2025-07-02 07:38:00,"Ho Chi Minh City","GrabFood","Corporate",49,"High Performer",0.3,"Moca Wallet","Mobile App",2.77,7.4,8.7,3,"Medium","Cloudy","LOYALTY",4000,155000,9000,"4.3","4.9","1",NA,"0",7,"Wednesday","Weekday","Morning",22.4594594594595,FALSE,2.77
"GB2025000084",2025-08-20 08:09:00,"Ho Chi Minh City","GrabFood","Family",21,"Standard",13.6,"Card","Mobile App",1.6,5.2,6.9,15.9,"High","Rain","None",0,123000,14000,"4.8","3.9","1",NA,"1",8,"Wednesday","Weekday","Morning",18.4615384615385,FALSE,1.6
"GB2025000086",2025-12-24 15:24:00,"Da Nang","GrabMart","Family",61,"New",2.5,"Card","Mobile App",3.15,14.8,19.7,6.4,"Low","Clear","FOOD20",3000,116000,12000,NA,NA,"0","Long wait time","0",15,"Wednesday","Weekday","Afternoon",12.7702702702703,FALSE,3.15
"GB2025000089",2025-01-18 06:11:00,"Hanoi","GrabFood","Working Professional",42,"Preferred",0.4,"Card","Mobile App",2.11,11.1,13.6,8.5,"Medium","Clear","LOYALTY",1000,118000,11000,"4.6","4.1","1",NA,"1",6,"Saturday","Weekend","Morning",11.4054054054054,FALSE,2.11
"GB2025000090",2025-07-29 17:39:00,"Hanoi","GrabMart","Corporate",54,"New",2.6,"Card","Partner App",3.92,13.7,12,7.2,"Low","Rain","None",0,436000,28000,"4.5","4.3","1",NA,"2",17,"Tuesday","Weekday","Evening",17.1678832116788,FALSE,3.92
"GB2025000101",2025-01-17 20:29:00,"Da Nang","GrabFood","Tourist",37,"Standard",0.8,"Cash","Mobile App",1,3.5,4.7,3.8,"Low","Rain","None",0,449000,35000,"4.6","4.4","1",NA,"3",20,"Friday","Weekday","Evening",17.1428571428571,FALSE,1
"GB2025000108",2025-01-16 04:09:00,"Hanoi","GrabMart","Working Professional",61,"High Performer",2.6,"Moca Wallet","Mobile App",2.23,10.4,10.1,7.6,"Medium","Clear","None",0,161000,17000,"4.2","4.6","1",NA,"1",4,"Thursday","Weekday","Early Morning",12.8653846153846,FALSE,2.23
"GB2025000112",2025-11-26 23:16:00,"Da Nang","GrabMart","Tourist",20,"New",4.3,"Cash","Mobile App",3.71,16.6,16.9,5.2,"Low","Clear","None",0,382000,24000,"4.4","3.7","1",NA,"2",23,"Wednesday","Weekday","Night",13.4096385542169,FALSE,3.71
"GB2025000114",2025-09-22 00:35:00,"Hanoi","GrabFood","Student",21,"Standard",1.8,"Cash","Mobile App",1.79,11.1,14.1,2.3,"Severe","Clear","FOOD20",2000,426000,33000,"4.1","4.8","1",NA,"3",0,"Monday","Weekday","Early Morning",9.67567567567568,FALSE,1.79
"GB2025000124",2025-09-06 01:22:00,"Bien Hoa","GrabFood","Family",48,"New",1.2,"Cash","Mobile App",3.3,17.7,23.3,9.4,"Medium","Cloudy","None",0,217000,15000,"5","3.8","1",NA,"1",1,"Saturday","Weekend","Early Morning",11.1864406779661,FALSE,3.3
"GB2025000125",2025-06-13 01:11:00,"Da Nang","GrabMart","Tourist",27,"New",3.9,"Card","Mobile App",2.48,7.7,9.5,2.7,"High",NA,"None",0,298000,16000,"5","5.0","1",NA,"1",1,"Friday","Weekday","Early Morning",19.3246753246753,FALSE,2.48
"GB2025000127",2025-03-23 06:21:00,"Ho Chi Minh City","GrabFood","Student",41,"Standard",1.8,"Corporate Account","Mobile App",4.59,20,17.2,3,"Medium","Clear","RIDE10",2000,230000,20000,"4.3","5","1",NA,"2",6,"Sunday","Weekend","Morning",13.77,FALSE,4.59
"GB2025000128",2025-11-14 02:50:00,"Hanoi","GrabFood","Working Professional",47,"Preferred",3.1,"Card","Mobile App",2.66,12.5,NA,10.5,"High","Clear","RIDE10",2000,358000,18000,"4.7","3.6","1",NA,"1",2,"Friday","Weekday","Early Morning",12.768,FALSE,2.66
"GB2025000132",2025-04-06 09:33:00,"Ho Chi Minh City","GrabFood","Student",43,"New",0.6,"Cash","Mobile App",3.95,16.7,15.9,3.6,"Medium","Clear","None",0,392000,32000,NA,"4.9","1",NA,"3",9,"Sunday","Weekend","Morning",14.1916167664671,FALSE,3.95
"GB2025000138",2025-12-10 05:22:00,"Ho Chi Minh City","GrabMart","Tourist",30,"Preferred",1.2,"Card","Mobile App",5.58,25.7,33.5,5,"Medium","Clear","WEEKEND",4000,55000,8000,"4.0","4.2","1",NA,"0",5,"Wednesday","Weekday","Early Morning",13.0272373540856,FALSE,5.58
"GB2025000148",2025-07-23 01:35:00,"Hanoi","GrabMart","Family",37,"High Performer",2,"Moca Wallet","Mobile App",2.56,11.6,10.7,5.3,"High","Clear","FOOD20",5000,57000,11000,"4.7","4.6","1",NA,"1",1,"Wednesday","Weekday","Early Morning",13.2413793103448,FALSE,2.56
"GB2025000155",2025-06-07 16:39:00,"Hanoi","GrabMart","Corporate",20,"New",0.7,"Moca Wallet","Mobile App",13.07,56,52.1,5.1,"Low","Clear","RIDE10",6000,73000,11000,"5","4.4","1",NA,"1",16,"Saturday","Weekend","Afternoon",14.0035714285714,FALSE,13.07
"GB2025000158",2025-09-26 02:02:00,"Ho Chi Minh City","GrabFood","Corporate",23,"Preferred",2.6,"Moca Wallet","Partner App",2.43,9.8,8.6,4.1,"Medium","Clear","None",0,307000,17000,"5","3.8","1",NA,"1",2,"Friday","Weekday","Early Morning",14.8775510204082,FALSE,2.43
"GB2025000159",2025-11-04 03:57:00,"Ho Chi Minh City","GrabFood","Frequent User",56,"High Performer",1.7,"Moca Wallet","Mobile App",3.88,18.7,25,4.7,"Medium",NA,"None",0,2e+05,14000,"4.6","5","1",NA,"1",3,"Tuesday","Weekday","Early Morning",12.4491978609626,FALSE,3.88
"GB2025000164",2025-11-14 09:19:00,"Ho Chi Minh City","GrabMart","Corporate",27,"New",3.1,"Moca Wallet","Mobile App",10.22,28.5,38,2.8,"Medium","Clear","None",0,156000,34000,"5","4.2","1",NA,"3",9,"Friday","Weekday","Morning",21.5157894736842,FALSE,10.22
"GB2025000167",2025-06-29 12:55:00,"Hanoi","GrabFood","Family",25,"New",1.1,"Moca Wallet","Mobile App",3.18,7.6,6.5,3.3,"Low",NA,"WELCOME",4000,364000,13000,"4.7","4.1","1",NA,"1",12,"Sunday","Weekend","Lunch",25.1052631578947,FALSE,3.18
"GB2025000170",2025-01-14 11:33:00,"Nha Trang","GrabMart","Frequent User",52,"High Performer",0.7,"Cash","Mobile App",6.94,29.1,37.7,4.9,"Low","Clear","WEEKEND",8000,123000,12000,NA,"4.7","1",NA,"1",11,"Tuesday","Weekday","Lunch",14.3092783505155,FALSE,6.94
"GB2025000171",2025-10-16 02:10:00,"Hanoi","GrabFood","Frequent User",46,"Standard",2.3,"Card","Mobile App",2.18,8.2,7,6.6,"Low","Clear","FOOD20",3000,87000,6000,"3.9","4.7","1",NA,"0",2,"Thursday","Weekday","Early Morning",15.9512195121951,FALSE,2.18
"GB2025000175",2025-11-24 13:57:00,"Ho Chi Minh City","GrabFood","Family",44,"Preferred",1.9,"Corporate Account","Partner App",8.31,23.3,24.6,2.3,"Medium","Clear","None",0,311000,20000,"5","3.9","1",NA,"2",13,"Monday","Weekday","Lunch",21.3991416309013,FALSE,8.31
"GB2025000176",2025-09-14 07:27:00,"Bien Hoa","GrabFood","Student",54,"Preferred",6.9,"Card","Mobile App",1.71,5.3,4.8,10.4,"High","Cloudy","None",0,325000,26000,"4.6","4.2","1",NA,"2",7,"Sunday","Weekend","Morning",19.3584905660377,FALSE,1.71
"GB2025000178",2025-03-28 05:35:00,"Hai Phong","GrabFood","Working Professional",49,"High Performer",1.3,"Card","Mobile App",6.72,28,31.5,7.2,"Low","Clear","WELCOME",9000,369000,21000,"4.4","4.6","1",NA,"2",5,"Friday","Weekday","Early Morning",14.4,FALSE,6.72
"GB2025000181",2025-11-07 23:17:00,"Hue","GrabFood","Family",37,"New",2.4,"Cash","Mobile App",2.14,10.9,12.1,4.2,"High","Cloudy","None",0,321000,20000,"5","4.6","1",NA,"2",23,"Friday","Weekday","Night",11.7798165137615,FALSE,2.14
"GB2025000183",2025-01-05 09:17:00,"Ho Chi Minh City","GrabFood","Tourist",60,"New",1,"Card","Mobile App",2.97,12.1,14.8,3.6,"Medium","Clear","None",0,204000,15000,"4.6","4.4","1",NA,"1",9,"Sunday","Weekend","Morning",14.7272727272727,FALSE,2.97
"GB2025000191",2025-07-04 13:51:00,"Can Tho","GrabFood","Tourist",50,"New",3.3,"Cash","Mobile App",2.91,9.4,10.6,3.2,"Low","Cloudy","LOYALTY",5000,136000,9000,"4.3","5","1",NA,"0",13,"Friday","Weekday","Lunch",18.5744680851064,FALSE,2.91
"GB2025000195",2025-02-03 10:14:00,"Ho Chi Minh City","GrabMart","Frequent User",52,"High Performer",3.8,"Moca Wallet","Mobile App",2.77,17.1,19.4,8.2,"High","Cloudy","FOOD20",5000,176000,13000,"4.6","4.0","1",NA,"1",10,"Monday","Weekday","Morning",9.71929824561403,FALSE,2.77
"GB2025000198",2025-01-17 20:11:00,"Da Nang","GrabFood","Frequent User",54,"New",1.9,"Card","Mobile App",1.06,3.4,3.6,5.8,"Medium","Clear","LOYALTY",3000,198000,10000,"5","5","1",NA,"1",20,"Friday","Weekday","Evening",18.7058823529412,FALSE,1.06
"GB2025000201",2025-07-14 12:45:00,"Hanoi","GrabMart","Tourist",33,"Preferred",0.3,"Moca Wallet","Mobile App",3.63,10.8,NA,6,"Low","Clear","RIDE10",5000,94000,5000,"4.4","4.9","1",NA,"0",12,"Monday","Weekday","Lunch",20.1666666666667,FALSE,3.63
"GB2025000203",2025-06-03 07:18:00,"Hanoi","GrabFood","Working Professional",35,"Preferred",0.7,"Moca Wallet","Mobile App",7.92,40.1,41.7,9.7,"High","Cloudy","WEEKEND",5000,146000,17000,"4.8","3.8","1",NA,"1",7,"Tuesday","Weekday","Morning",11.8503740648379,FALSE,7.92
"GB2025000207",2025-11-20 03:38:00,"Hanoi","GrabMart","Student",46,"Preferred",2.8,"Cash","Mobile App",5.48,35.8,42.6,9.3,"Severe","Clear","WELCOME",3000,178000,27000,"3.4","4.1","1",NA,"2",3,"Thursday","Weekday","Early Morning",9.18435754189944,FALSE,5.48
"GB2025000208",2025-09-12 15:57:00,"Ho Chi Minh City","GrabFood","Student",33,"Preferred",1.8,"Moca Wallet","Mobile App",3.05,15.3,16.6,3.1,"Medium","Clear","WEEKEND",1000,2e+05,17000,"4.5","3.7","1",NA,"1",15,"Friday","Weekday","Afternoon",11.9607843137255,FALSE,3.05
"GB2025000209",2025-04-16 19:18:00,"Ho Chi Minh City","GrabFood","Student",50,"New",2.3,"Moca Wallet","Mobile App",1.46,11,14.1,6.4,"Severe","Clear","None",0,141000,17000,"4.8","3.4","1",NA,"1",19,"Wednesday","Weekday","Evening",7.96363636363636,FALSE,1.46
"GB2025000211",2025-07-16 01:36:00,"Hai Phong","GrabFood","Student",44,"High Performer",2.5,"Moca Wallet","Mobile App",2.05,5.2,6.1,5.7,"Low","Cloudy","None",0,311000,27000,"4.1","4.9","1",NA,"2",1,"Wednesday","Weekday","Early Morning",23.6538461538461,FALSE,2.05
"GB2025000223",2025-01-06 20:40:00,"Can Tho","GrabMart","Tourist",61,"Standard",3.8,"Moca Wallet","Partner App",5.2,17.9,15.4,5.1,"Low","Cloudy","WELCOME",3000,326000,24000,"5","3.9","1",NA,"2",20,"Monday","Weekday","Evening",17.4301675977654,FALSE,5.2
"GB2025000225",2025-12-03 11:04:00,"Da Nang","GrabMart","Tourist",24,"New",0.4,"Card","Mobile App",2.2,9.1,8.1,4.3,"High","Clear","WELCOME",5000,437000,28000,"5","5","1",NA,"2",11,"Wednesday","Weekday","Lunch",14.5054945054945,FALSE,2.2
"GB2025000227",2025-10-03 17:58:00,"Ho Chi Minh City","GrabMart","Student",29,"High Performer",2.2,"Cash","Mobile App",3.16,12.2,13.1,4.5,"Medium","Clear","FOOD20",7000,449000,35000,"5","5","1",NA,"3",17,"Friday","Weekday","Evening",15.5409836065574,FALSE,3.16
"GB2025000231",2025-08-08 02:52:00,"Hai Phong","GrabMart","Frequent User",30,"New",0.3,"Cash","Web Booking",2.52,7.4,9.2,2.2,"Medium","Cloudy","None",0,254000,17000,NA,NA,"0","Customer changed mind","0",2,"Friday","Weekday","Early Morning",20.4324324324324,FALSE,2.52
"GB2025000232",2025-06-02 19:18:00,"Ho Chi Minh City","GrabFood","Working Professional",32,"High Performer",5.3,"Corporate Account","Mobile App",2.34,8.2,7.1,6.4,"Low","Clear","FOOD20",4000,385000,26000,"4.4","3.9","1",NA,"2",19,"Monday","Weekday","Evening",17.1219512195122,FALSE,2.34
"GB2025000236",2025-07-23 12:09:00,"Da Nang","GrabFood","Tourist",NA,"New",3.4,"Moca Wallet","Mobile App",4.06,24.9,NA,16.6,"High","Rain","WEEKEND",2000,205000,12000,"4.9","4.2","1",NA,"1",12,"Wednesday","Weekday","Lunch",9.78313253012048,FALSE,4.06
"GB2025000241",2025-10-11 17:32:00,"Da Nang","GrabFood","Tourist",19,"High Performer",3.1,"Cash","Mobile App",2.57,6.3,6.7,3.2,"Low","Clear","None",0,115000,12000,"4.2","4.5","1",NA,"1",17,"Saturday","Weekend","Evening",24.4761904761905,FALSE,2.57
"GB2025000253",2025-10-13 02:37:00,"Bien Hoa","GrabFood","Frequent User",47,"High Performer",1.1,"Moca Wallet","Mobile App",2.15,13.5,15.7,3.2,"High","Cloudy","WELCOME",2000,119000,9000,"4.6","3.8","1",NA,"0",2,"Monday","Weekday","Early Morning",9.55555555555555,FALSE,2.15
"GB2025000256",2025-08-16 22:10:00,"Bien Hoa","GrabMart","Tourist",30,"Preferred",2.8,"Card","Mobile App",4.65,17.4,18.2,4.3,"Medium","Clear","None",0,48000,16000,"5","4.0","1",NA,"1",22,"Saturday","Weekend","Night",16.0344827586207,FALSE,4.65
"GB2025000258",2025-10-28 05:01:00,"Ho Chi Minh City","GrabFood","Tourist",38,"New",3.3,"Cash","Mobile App",8.18,29.2,33.7,3.3,"Low","Clear","MART15",10000,302000,11000,"4.8","3.7","1",NA,"1",5,"Tuesday","Weekday","Early Morning",16.8082191780822,FALSE,8.18
"GB2025000262",2025-06-02 23:24:00,"Ho Chi Minh City","GrabMart","Frequent User",37,"Standard",4.5,"Card","Mobile App",3.27,8.8,9.9,7.1,"Medium","Cloudy","FOOD20",4000,261000,22000,"4.5","5","1",NA,"2",23,"Monday","Weekday","Night",22.2954545454545,FALSE,3.27
"GB2025000264",2025-02-09 17:12:00,"Ho Chi Minh City","GrabFood","Family",46,"New",0.6,"Moca Wallet","Mobile App",4.77,21.4,19.6,8.1,"High","Cloudy","None",0,405000,33000,"4.5",NA,"1",NA,"3",17,"Sunday","Weekend","Evening",13.3738317757009,FALSE,4.77
"GB2025000270",2025-04-16 22:04:00,"Bien Hoa","GrabFood","Family",58,"High Performer",5,"Cash","Mobile App",4.02,16.6,21.1,4.8,"Low","Clear","MART15",1000,441000,34000,"5.0","3.7","1",NA,"3",22,"Wednesday","Weekday","Night",14.5301204819277,FALSE,4.02
"GB2025000271",2025-07-18 04:48:00,"Ho Chi Minh City","GrabFood","Family",NA,"Standard",0.7,"Card","Mobile App",4.93,15.7,19,11.2,"Medium","Rain","None",0,370000,34000,"4.2","4.7","1",NA,"3",4,"Friday","Weekday","Early Morning",18.8407643312102,FALSE,4.93
"GB2025000283",2025-10-20 04:54:00,"Hanoi","GrabFood","Frequent User",41,"New",2.3,"Moca Wallet","Mobile App",4.72,25,25.9,6.9,"Medium","Clear","MART15",3000,124000,10000,"5","3.8","1",NA,"1",4,"Monday","Weekday","Early Morning",11.328,FALSE,4.72
"GB2025000287",2025-12-15 23:08:00,"Hanoi","GrabMart","Frequent User",44,"High Performer",8.2,"Card","Web Booking",1.92,11.9,13.7,5.4,"High","Cloudy","LOYALTY",1000,346000,20000,"4.7","4.5","1",NA,"2",23,"Monday","Weekday","Night",9.68067226890756,FALSE,1.92
"GB2025000288",2025-05-11 06:57:00,"Bien Hoa","GrabFood","Tourist",58,"High Performer",3.2,"Moca Wallet","Mobile App",1.36,6.2,6.4,8.2,"Medium","Rain","RIDE10",3000,3e+05,15000,"5","4.2","1",NA,"1",6,"Sunday","Weekend","Morning",13.1612903225806,FALSE,1.36
"GB2025000291",2025-09-28 09:26:00,"Da Nang","GrabMart","Working Professional",43,"Preferred",2.2,"Cash","Mobile App",5.41,20.7,26.2,10.2,"Medium","Heavy Rain","WEEKEND",11000,232000,938000,"4.2","3.9","1",NA,"1",9,"Sunday","Weekend","Morning",15.6811594202899,FALSE,5.41
"GB2025000296",2025-12-07 18:19:00,"Da Nang","GrabMart","Frequent User",18,"Standard",5.2,"Cash","Mobile App",3.42,11,13.8,8.1,"Medium","Rain","None",0,83000,21000,NA,"4.8","1",NA,"2",18,"Sunday","Weekend","Evening",18.6545454545455,FALSE,3.42
"GB2025000301",2025-02-11 04:26:00,"Hanoi","GrabMart","Frequent User",38,"Standard",2.4,"Corporate Account","Mobile App",0.63,2.6,3.1,5.3,"Medium","Cloudy","WELCOME",2000,111000,7000,"4.5","2.9","1",NA,"0",4,"Tuesday","Weekday","Early Morning",14.5384615384615,FALSE,0.63
"GB2025000304",2025-05-14 12:00:00,"Bien Hoa","GrabFood","Student",18,"Standard",2.1,"Card","Mobile App",2.58,10.2,11.8,4.2,"Low","Clear","RIDE10",2000,263000,14000,"5","4.8","1",NA,"1",12,"Wednesday","Weekday","Lunch",15.1764705882353,FALSE,2.58
"GB2025000306",2025-01-01 17:17:00,"Ho Chi Minh City","GrabFood","Student",27,"New",1.9,"Card","Mobile App",4.29,17.3,21.3,6.5,"High","Cloudy","None",0,164000,21000,"4.3","4.2","1",NA,"2",17,"Wednesday","Weekday","Evening",14.878612716763,FALSE,4.29
"GB2025000310",2025-10-02 14:39:00,"Da Nang","GrabFood","Student",21,"High Performer",0.4,"Cash","Mobile App",3.22,17.4,15.8,6.9,"Medium","Heavy Rain","MART15",7000,102000,9000,"4.2","4.2","1",NA,"0",14,"Thursday","Weekday","Afternoon",11.1034482758621,FALSE,3.22
"GB2025000314",2025-04-16 02:47:00,"Nha Trang","GrabFood","Family",60,"Standard",7.2,"Corporate Account","Mobile App",3.19,15.9,18,3.8,"High","Clear","None",0,255000,25000,"4.6","4.3","1",NA,"2",2,"Wednesday","Weekday","Early Morning",12.0377358490566,FALSE,3.19
"GB2025000332",2025-01-06 14:32:00,"Bien Hoa","GrabFood","Family",58,"High Performer",1.7,"Card","Partner App",2.13,6.1,NA,3.1,"Medium","Clear","None",0,394000,26000,"4.5","3.9","1",NA,"2",14,"Monday","Weekday","Afternoon",20.9508196721311,FALSE,2.13
"GB2025000338",2025-08-12 09:18:00,"Nha Trang","GrabMart","Frequent User",61,"Standard",4.7,"Card","Mobile App",5.76,29.1,33.7,6.5,"Medium","Clear","None",0,216000,23000,NA,NA,"0","Driver unavailable","0",9,"Tuesday","Weekday","Morning",11.8762886597938,FALSE,5.76
"GB2025000342",2025-11-06 07:35:00,"Hanoi","GrabFood","Frequent User",46,"Preferred",0.7,"Moca Wallet","Mobile App",3.85,16.1,14.9,2.2,"Medium","Clear","None",0,160000,21000,"4.4","4.3","1",NA,"2",7,"Thursday","Weekday","Morning",14.3478260869565,FALSE,3.85
"GB2025000348",2025-08-11 05:18:00,"Hanoi","GrabFood","Frequent User",49,"High Performer",7,"Corporate Account","Mobile App",10.94,57.5,67,NA,"Medium","Clear","LOYALTY",14000,177000,18000,"4.4","4.3","1",NA,"1",5,"Monday","Weekday","Early Morning",11.415652173913,FALSE,10.94
"GB2025000354",2025-02-19 18:50:00,"Da Nang","GrabFood","Corporate",20,"High Performer",6,"Card","Mobile App",NA,7.7,7.3,9.4,"Medium","Clear","None",0,98000,12000,"4.2","3.6","1",NA,"1",18,"Wednesday","Weekday","Evening",NA,NA,NA
"GB2025000357",2025-12-12 19:04:00,"Da Nang","GrabMart","Family",22,"New",1.5,"Card","Mobile App",6.6,19.9,19.5,9.7,"Medium","Heavy Rain","RIDE10",10000,88000,12000,"5","4.5","1",NA,"1",19,"Friday","Weekday","Evening",19.8994974874372,FALSE,6.6
"GB2025000358",2025-12-31 20:46:00,"Ho Chi Minh City","GrabFood","Student",54,"New",1.7,"Cash","Mobile App",2.27,7.9,8,3.2,"Low","Clear","WELCOME",2000,164000,NA,"4.9","4.8","1",NA,"1",20,"Wednesday","Weekday","Evening",17.2405063291139,FALSE,2.27
"GB2025000362",2025-02-04 19:17:00,"Can Tho","GrabFood","Student",28,"Standard",5.5,"Card","Mobile App",2.09,10.6,13.1,4.7,"Medium","Heavy Rain","None",0,185000,11000,NA,NA,"0","Driver unavailable","0",19,"Tuesday","Weekday","Evening",11.8301886792453,FALSE,2.09
"GB2025000363",2025-12-11 23:06:00,"Hanoi","GrabFood","Frequent User",47,"New",1.8,"Cash","Mobile App",3.12,12.4,16.4,7.6,"Medium","Rain","None",0,383000,23000,"4.1","4.8","1",NA,"2",23,"Thursday","Weekday","Night",15.0967741935484,FALSE,3.12
"GB2025000366",2025-03-09 08:13:00,"Ho Chi Minh City","GrabMart","Tourist",38,"Standard",2.7,"Cash","Mobile App",4.07,15.5,20.3,6.2,"Low","Clear","LOYALTY",5000,433000,28000,"4.8","4.0","1",NA,"2",8,"Sunday","Weekend","Morning",15.7548387096774,FALSE,4.07
"GB2025000369",2025-09-08 15:12:00,"Da Nang","GrabMart","Corporate",37,"New",4.6,"Card","Mobile App",2.65,17,16.8,6.8,"High","Clear","FOOD20",3000,178000,11000,"5","3.8","1",NA,"1",15,"Monday","Weekday","Afternoon",9.35294117647059,FALSE,2.65
"GB2025000374",2025-07-01 14:58:00,"Hanoi","GrabFood","Working Professional",56,"New",1.8,"Card","Mobile App",4.2,18.7,18.4,2.8,"Low","Clear","WEEKEND",3000,211000,18000,"4.5","4.7","1",NA,"1",14,"Tuesday","Weekday","Afternoon",13.475935828877,FALSE,4.2
